mode,day,workload_type,num_jobs,rho,strategy,total_jobs,completed_jobs,failed_jobs,completion_ratio,makespan_seconds,throughput_jobs_per_second,turnaround_mean,turnaround_std,waiting_mean,waiting_std,execution_mean,execution_std,decision_mean,decision_std,makespan_seconds_pct_vs_purelocal,waiting_mean_pct_vs_purelocal,execution_mean_pct_vs_purelocal,turnaround_mean_pct_vs_purelocal
centralized,bursty_high_stress,mixed_80_20,415,1.5,EmbeddingBidding,415,415,0,1.0,135903.974,0.003053626673197945,3844.989648192771,8792.097798088149,826.7405819277108,4609.644464800814,3018.2501614457833,4974.864771370426,7.81045139759036e-05,3.0785681704479683e-09,-61.28% ↓,-98.51% ↓,-36.37% ↓,-75.67% ↓
centralized,bursty_high_stress,mixed_80_20,415,1.5,HeuristicBidding,415,415,0,1.0,131520.974,0.003155390257374463,4256.967554216868,9877.559643605195,1250.485429614458,6190.055010400055,3006.482327710844,4711.38304853584,7.81045139759036e-05,3.0785681704479683e-09,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_high_stress,small_short,2880,0.9,EmbeddingBidding,2880,2880,0,1.0,480808.498,0.005989910769006416,30065.27463020833,83488.42697647748,28287.53565927083,82372.28090674177,1777.7782663194444,1926.7429712178653,7.810439249999999e-05,2.024812908651168e-09,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_high_stress,small_short,2880,0.9,HeuristicBidding,2880,2880,0,1.0,522900.498,0.005507740021314724,42925.98049097222,99118.65921181037,41051.51714256597,98043.41819534604,1874.4480934027779,1988.7202945683937,7.810439249999999e-05,2.024812908651168e-09,-54.71% ↓,-100.0% ↓,-27.37% ↓,-69.01% ↓
centralized,bursty_high_stress,small_short,4800,1.5,EmbeddingBidding,4800,4800,0,1.0,229649.604,0.020901407694132144,19181.086101875,35993.933602045065,17657.520171936874,35410.518321476804,1523.5641731249998,1438.424437028681,7.8104337e-05,1.2813169147597178e-09,,,,
centralized,bursty_high_stress,small_short,4800,1.5,HeuristicBidding,4800,4800,0,1.0,1395509.604,0.0034396037019319573,177124.798033125,338777.5350411725,174772.6097119771,337635.0787949029,2352.432458333333,2440.0763025636584,7.8104337e-05,1.2813169147597178e-09,,,,
centralized,bursty_low_stress,large_long,54,0.9,EmbeddingBidding,54,54,0,1.0,88120.913,0.0006127943771985204,8192.980185185184,3526.0135825253337,230.29685185185187,1477.0114831528479,7962.685185185186,3096.7368521779113,7.810430000000003e-05,2.735956744811867e-20,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_low_stress,large_long,54,0.9,HeuristicBidding,54,54,0,1.0,88120.913,0.0006127943771985204,8980.063333333334,6517.662297688356,219.30555555555554,1611.560126606099,8760.759444444444,6287.260961924612,7.810430000000003e-05,2.735956744811867e-20,-41.51% ↓,-79.29% ↓,-12.43% ↓,-49.14% ↓
centralized,bursty_low_stress,large_long,91,1.5,EmbeddingBidding,91,91,0,1.0,103314.948,0.0008808018758331078,10667.631142857143,7873.896792133809,1810.8840109890111,4745.741588717233,8856.751868131867,5645.771781439612,7.81043e-05,0.0,,,,
centralized,bursty_low_stress,large_long,91,1.5,HeuristicBidding,91,91,0,1.0,230229.948,0.00039525700626922785,15197.250923076923,26317.578010966252,4590.57923076923,19069.358290890083,10606.677582417582,10290.105194853219,7.81043e-05,0.0,,,,
centralized,bursty_low_stress,mixed_20_80,67,0.9,EmbeddingBidding,67,67,0,1.0,70452.27,0.0009509984561178795,7058.849716417911,4363.107532301639,188.7114626865672,825.7181971437061,6870.136059701493,4304.672345775811,7.810430000000002e-05,1.3654811830960976e-20,-53.34% ↓,-99.28% ↓,-32.6% ↓,-73.11% ↓
centralized,bursty_low_stress,mixed_20_80,67,0.9,HeuristicBidding,67,67,0,1.0,78892.77,0.0008492539937436599,7692.322850746268,6889.644569757334,88.4892537313433,529.6853052386844,7603.8271492537315,6904.942305353711,7.810430000000002e-05,1.3654811830960976e-20,0.0% ,0.0% ,0.0% ,0.0% 
centralized,bursty_low_stress,mixed_20_80,112,1.5,EmbeddingBidding,112,112,0,1.0,95549.648,0.0011721654903427796,8768.547205357143,8207.442591033303,1502.8862232142858,4258.825737858599,7265.656035714286,5692.671880351153,7.810429999999998e-05,2.722687539476028e-20,,,,
centralized,bursty_low_stress,mixed_20_80,112,1.5,HeuristicBidding,112,112,0,1.0,95197.848,0.0011764971830035486,9002.186026785716,8494.241708533584,1469.1735178571428,3974.8293294737996,7533.008678571428,6043.876247170493,7.810429999999998e-05,2.722687539476028e-20,,,,
